,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
85,PNJ,95.8,2021-06-09,PNJ,95.8,2021-06-09,0.0,3.0
86,PNJ,96.0,2021-06-08,PNJ,100.5,2021-06-08,-4.5,2.0
87,PNJ,99.6,2021-06-07,PNJ,101.0,2021-06-07,-1.4000000000000057,2.0
88,PNJ,100.6,2021-06-04,PNJ,100.4,2021-06-04,0.19999999999998863,1.0
89,PNJ,101.2,2021-06-03,PNJ,102.9,2021-06-03,-1.7000000000000028,2.0
90,PNJ,100.5,2021-06-02,PNJ,100.0,2021-06-02,0.5,1.0
91,PNJ,100.5,2021-06-01,PNJ,100.6,2021-06-01,-0.09999999999999432,2.0
92,PNJ,100.9,2021-05-31,PNJ,102.4,2021-05-31,-1.5,2.0
93,PNJ,101.0,2021-05-28,PNJ,100.8,2021-05-28,0.20000000000000284,1.0
94,PNJ,101.6,2021-05-27,PNJ,103.0,2021-05-27,-1.4000000000000057,2.0
95,PNJ,101.8,2021-05-26,PNJ,103.7,2021-05-26,-1.9000000000000057,2.0
96,PNJ,101.9,2021-05-25,PNJ,101.1,2021-05-25,0.8000000000000114,1.0
97,PNJ,101.9,2021-05-24,PNJ,103.0,2021-05-24,-1.0999999999999943,2.0
98,PNJ,101.8,2021-05-21,PNJ,99.0,2021-05-21,2.799999999999997,1.0
99,PNJ,99.3,2021-05-20,PNJ,94.0,2021-05-20,5.299999999999997,1.0
100,PNJ,93.5,2021-05-19,PNJ,93.2,2021-05-19,0.29999999999999716,1.0
101,PNJ,93.5,2021-05-18,PNJ,94.9,2021-05-18,-1.4000000000000057,2.0
102,PNJ,94.0,2021-05-17,PNJ,95.8,2021-05-17,-1.7999999999999972,2.0
103,PNJ,94.2,2021-05-14,PNJ,94.1,2021-05-14,0.10000000000000853,1.0
104,PNJ,94.3,2021-05-13,PNJ,95.9,2021-05-13,-1.6000000000000085,2.0
105,PNJ,95.8,2021-05-12,PNJ,94.8,2021-05-12,1.0,1.0
106,PNJ,94.0,2021-05-11,PNJ,95.0,2021-05-11,-1.0,2.0
107,PNJ,93.6,2021-05-10,PNJ,95.5,2021-05-10,-1.9000000000000057,2.0
108,PNJ,95.5,2021-05-07,PNJ,96.0,2021-05-07,-0.5,2.0
109,PNJ,96.0,2021-05-06,PNJ,98.0,2021-05-06,-2.0,2.0
110,PNJ,97.0,2021-05-05,PNJ,97.0,2021-05-05,0.0,3.0
111,PNJ,95.2,2021-05-04,PNJ,96.1,2021-05-04,-0.8999999999999915,2.0
112,PNJ,98.0,2021-04-29,PNJ,95.9,2021-04-29,2.0999999999999943,1.0
113,PNJ,95.7,2021-04-28,PNJ,93.6,2021-04-28,2.1000000000000085,1.0
114,PNJ,96.0,2021-04-27,PNJ,92.0,2021-04-27,4.0,1.0
115,PNJ,95.0,2021-04-26,PNJ,96.0,2021-04-26,-1.0,2.0
116,PNJ,96.0,2021-04-23,PNJ,93.9,2021-04-23,2.0999999999999943,1.0
117,PNJ,93.9,2021-04-22,PNJ,94.0,2021-04-22,-0.09999999999999432,2.0
118,PNJ,94.4,2021-04-20,PNJ,94.1,2021-04-20,0.30000000000001137,1.0
119,PNJ,94.0,2021-04-19,PNJ,92.0,2021-04-19,2.0,1.0
120,PNJ,90.9,2021-04-16,PNJ,91.5,2021-04-16,-0.5999999999999943,2.0
121,PNJ,92.0,2021-04-15,PNJ,92.5,2021-04-15,-0.5,2.0
122,PNJ,91.5,2021-04-14,PNJ,90.2,2021-04-14,1.2999999999999972,1.0
123,PNJ,90.7,2021-04-13,PNJ,91.7,2021-04-13,-1.0,2.0
124,PNJ,91.8,2021-04-12,PNJ,90.5,2021-04-12,1.2999999999999972,1.0
125,PNJ,90.3,2021-04-09,PNJ,88.1,2021-04-09,2.200000000000003,1.0
126,PNJ,88.5,2021-04-08,PNJ,88.3,2021-04-08,0.20000000000000284,1.0
